,state,case_type,age_group,count,state_agegroup
0,Alaska,G+C+Joint,Adults+Minors,1171,Adults+MinorsAlaska
1,Alaska,G+C+Joint,Adults+Minors,1084,Adults+MinorsAlaska
2,Alaska,G+C+Joint,Adults+Minors,1227,Adults+MinorsAlaska
3,Alaska,G+C+Joint,Adults+Minors,1090,Adults+MinorsAlaska
4,Arizona,Guardianship ONLY,Adults ONLY,2520,Adults ONLYArizona
5,Arizona,Guardianship ONLY,Minors ONLY,2871,Minors ONLYArizona
6,Arizona,Conservatorship ONLY,Adults ONLY,3485,Adults ONLYArizona
7,Arizona,Conservatorship ONLY,Minors ONLY,1365,Minors ONLYArizona
8,Arizona,Guardianship ONLY,Adults ONLY,2383,Adults ONLYArizona
9,Arizona,Guardianship ONLY,Minors ONLY,3608,Minors ONLYArizona
10,Arizona,Conservatorship ONLY,Adults ONLY,4003,Adults ONLYArizona
11,Arizona,Conservatorship ONLY,Minors ONLY,1334,Minors ONLYArizona
12,Arizona,Guardianship ONLY,Adults ONLY,2800,Adults ONLYArizona
13,Arizona,Guardianship ONLY,Minors ONLY,3785,Minors ONLYArizona
14,Arizona,Conservatorship ONLY,Adults ONLY,4554,Adults ONLYArizona
15,Arizona,Conservatorship ONLY,Minors ONLY,1361,Minors ONLYArizona
16,Arkansas,G+C+Joint,Adults ONLY,1110,Adults ONLYArkansas
17,Arkansas,G+C+Joint,Minors ONLY,2439,Minors ONLYArkansas
18,Arkansas,G+C+Joint,Adults+Minors,133,Adults+MinorsArkansas
19,Arkansas,G+C+Joint,Adults ONLY,1164,Adults ONLYArkansas
20,Arkansas,G+C+Joint,Minors ONLY,2692,Minors ONLYArkansas
21,Arkansas,G+C+Joint,Adults+Minors,141,Adults+MinorsArkansas
22,Arkansas,G+C+Joint,Adults ONLY,1153,Adults ONLYArkansas
23,Arkansas,G+C+Joint,Minors ONLY,2617,Minors ONLYArkansas
24,Arkansas,G+C+Joint,Adults+Minors,146,Adults+MinorsArkansas
25,Arkansas,G+C+Joint,Adults ONLY,1168,Adults ONLYArkansas
26,Arkansas,G+C+Joint,Minors ONLY,2789,Minors ONLYArkansas
27,Arkansas,G+C+Joint,Adults+Minors,160,Adults+MinorsArkansas
28,California,G+C+Joint,Adults+Minors,15001,Adults+MinorsCalifornia
29,California,G+C+Joint,Adults+Minors,16634,Adults+MinorsCalifornia
30,California,G+C+Joint,Adults+Minors,16821,Adults+MinorsCalifornia
31,California,G+C+Joint,Adults+Minors,15923,Adults+MinorsCalifornia
32,California,G+C+Joint,Adults+Minors,15529,Adults+MinorsCalifornia
33,Colorado,Guardianship ONLY,Adults ONLY,826,Adults ONLYColorado
34,Colorado,Conservatorship ONLY,Adults ONLY,199,Adults ONLYColorado
35,Colorado,Joint G/C ONLY,Adults ONLY,468,Adults ONLYColorado
36,Colorado,Guardianship ONLY,Minors ONLY,869,Minors ONLYColorado
37,Colorado,Conservatorship ONLY,Minors ONLY,327,Minors ONLYColorado
38,Colorado,Joint G/C ONLY,Minors ONLY,51,Minors ONLYColorado
39,Colorado,Guardianship ONLY,Adults ONLY,934,Adults ONLYColorado
40,Colorado,Conservatorship ONLY,Adults ONLY,235,Adults ONLYColorado
41,Colorado,Joint G/C ONLY,Adults ONLY,483,Adults ONLYColorado
42,Colorado,Guardianship ONLY,Minors ONLY,950,Minors ONLYColorado
43,Colorado,Conservatorship ONLY,Minors ONLY,318,Minors ONLYColorado
44,Colorado,Joint G/C ONLY,Minors ONLY,35,Minors ONLYColorado
45,Colorado,Guardianship ONLY,Adults ONLY,910,Adults ONLYColorado
46,Colorado,Conservatorship ONLY,Adults ONLY,243,Adults ONLYColorado
47,Colorado,Joint G/C ONLY,Adults ONLY,492,Adults ONLYColorado
48,Colorado,Guardianship ONLY,Minors ONLY,931,Minors ONLYColorado
49,Colorado,Conservatorship ONLY,Minors ONLY,340,Minors ONLYColorado
50,Colorado,Joint G/C ONLY,Minors ONLY,27,Minors ONLYColorado
51,Colorado,Guardianship ONLY,Adults ONLY,823,Adults ONLYColorado
52,Colorado,Conservatorship ONLY,Adults ONLY,213,Adults ONLYColorado
53,Colorado,Joint G/C ONLY,Adults ONLY,506,Adults ONLYColorado
54,Colorado,Guardianship ONLY,Minors ONLY,1068,Minors ONLYColorado
55,Colorado,Conservatorship ONLY,Minors ONLY,403,Minors ONLYColorado
56,Colorado,Joint G/C ONLY,Minors ONLY,42,Minors ONLYColorado
57,Colorado,Guardianship ONLY,Adults ONLY,838,Adults ONLYColorado
58,Colorado,Conservatorship ONLY,Adults ONLY,210,Adults ONLYColorado
59,Colorado,Joint G/C ONLY,Adults ONLY,531,Adults ONLYColorado
60,Colorado,Guardianship ONLY,Minors ONLY,897,Minors ONLYColorado
