,state,year,case_action,case_type,age_group,count,for_total
0,Alaska,2020,Ambiguous,G+C+Joint,Adults+Minors,1171,Y
1,Alaska,2019,Ambiguous,G+C+Joint,Adults+Minors,1084,Y
2,Alaska,2018,Ambiguous,G+C+Joint,Adults+Minors,1227,Y
3,Alaska,2017,Ambiguous,G+C+Joint,Adults+Minors,1090,Y
4,Arizona,2020,Ambiguous,Guardianship ONLY,Adults ONLY,2520,Y
5,Arizona,2020,Ambiguous,Guardianship ONLY,Minors ONLY,2871,N
6,Arizona,2020,Ambiguous,Conservatorship ONLY,Adults ONLY,3485,N
7,Arizona,2020,Ambiguous,Conservatorship ONLY,Minors ONLY,1365,N
8,Arizona,2019,Ambiguous,Guardianship ONLY,Adults ONLY,2383,Y
9,Arizona,2019,Ambiguous,Guardianship ONLY,Minors ONLY,3608,N
10,Arizona,2019,Ambiguous,Conservatorship ONLY,Adults ONLY,4003,N
11,Arizona,2019,Ambiguous,Conservatorship ONLY,Minors ONLY,1334,N
12,Arizona,2018,Ambiguous,Guardianship ONLY,Adults ONLY,2800,Y
13,Arizona,2018,Ambiguous,Guardianship ONLY,Minors ONLY,3785,N
14,Arizona,2018,Ambiguous,Conservatorship ONLY,Adults ONLY,4554,N
15,Arizona,2018,Ambiguous,Conservatorship ONLY,Minors ONLY,1361,N
16,Arkansas,2020,Ambiguous,G+C+Joint,Adults ONLY,1110,Y
17,Arkansas,2020,Ambiguous,G+C+Joint,Minors ONLY,2439,N
18,Arkansas,2020,Ambiguous,G+C+Joint,Adults+Minors,133,N
19,Arkansas,2019,Ambiguous,G+C+Joint,Adults ONLY,1164,Y
20,Arkansas,2019,Ambiguous,G+C+Joint,Minors ONLY,2692,N
21,Arkansas,2019,Ambiguous,G+C+Joint,Adults+Minors,141,N
22,Arkansas,2018,Ambiguous,G+C+Joint,Adults ONLY,1153,Y
23,Arkansas,2018,Ambiguous,G+C+Joint,Minors ONLY,2617,N
24,Arkansas,2018,Ambiguous,G+C+Joint,Adults+Minors,146,N
25,Arkansas,2017,Ambiguous,G+C+Joint,Adults ONLY,1168,Y
26,Arkansas,2017,Ambiguous,G+C+Joint,Minors ONLY,2789,N
27,Arkansas,2017,Ambiguous,G+C+Joint,Adults+Minors,160,N
28,California,2020,Initiated+Reopened,G+C+Joint,Adults+Minors,15001,Y
29,California,2019,Initiated+Reopened,G+C+Joint,Adults+Minors,16634,Y
30,California,2018,Initiated+Reopened,G+C+Joint,Adults+Minors,16821,Y
31,California,2017,Initiated+Reopened,G+C+Joint,Adults+Minors,15923,Y
32,California,2016,Initiated+Reopened,G+C+Joint,Adults+Minors,15529,Y
33,Colorado,2020,Initiated+Reopened,Guardianship ONLY,Adults ONLY,826,Y
34,Colorado,2020,Initiated+Reopened,Conservatorship ONLY,Adults ONLY,199,N
35,Colorado,2020,Initiated+Reopened,Joint G/C ONLY,Adults ONLY,468,Y
36,Colorado,2020,Initiated+Reopened,Guardianship ONLY,Minors ONLY,869,N
37,Colorado,2020,Initiated+Reopened,Conservatorship ONLY,Minors ONLY,327,N
38,Colorado,2020,Initiated+Reopened,Joint G/C ONLY,Minors ONLY,51,N
39,Colorado,2019,Initiated+Reopened,Guardianship ONLY,Adults ONLY,934,Y
40,Colorado,2019,Initiated+Reopened,Conservatorship ONLY,Adults ONLY,235,N
41,Colorado,2019,Initiated+Reopened,Joint G/C ONLY,Adults ONLY,483,Y
