state,year,case_type,count
Alaska,2020,G+C+Joint,1171
Alaska,2019,G+C+Joint,1084
Alaska,2018,G+C+Joint,1227
Alaska,2017,G+C+Joint,1090
Arizona,2020,Guardianship ONLY,2520
Arizona,2020,Guardianship ONLY,2871
Arizona,2020,Conservatorship ONLY,3485
Arizona,2020,Conservatorship ONLY,1365
Arizona,2019,Guardianship ONLY,2383
Arizona,2019,Guardianship ONLY,3608
Arizona,2019,Conservatorship ONLY,4003
Arizona,2019,Conservatorship ONLY,1334
Arizona,2018,Guardianship ONLY,2800
Arizona,2018,Guardianship ONLY,3785
Arizona,2018,Conservatorship ONLY,4554
Arizona,2018,Conservatorship ONLY,1361
Arkansas,2020,G+C+Joint,1110
Arkansas,2020,G+C+Joint,2439
Arkansas,2020,G+C+Joint,133
Arkansas,2019,G+C+Joint,1164
Arkansas,2019,G+C+Joint,2692
Arkansas,2019,G+C+Joint,141
Arkansas,2018,G+C+Joint,1153
Arkansas,2018,G+C+Joint,2617
Arkansas,2018,G+C+Joint,146
Arkansas,2017,G+C+Joint,1168
Arkansas,2017,G+C+Joint,2789
Arkansas,2017,G+C+Joint,160
California,2020,G+C+Joint,15001
California,2019,G+C+Joint,16634
California,2018,G+C+Joint,16821
California,2017,G+C+Joint,15923
California,2016,G+C+Joint,15529
Colorado,2020,Guardianship ONLY,826
Colorado,2020,Conservatorship ONLY,199
Colorado,2020,Joint G/C ONLY,468
Colorado,2020,Guardianship ONLY,869
Colorado,2020,Conservatorship ONLY,327
Colorado,2020,Joint G/C ONLY,51
Colorado,2019,Guardianship ONLY,934
Colorado,2019,Conservatorship ONLY,235
Colorado,2019,Joint G/C ONLY,483
Colorado,2019,Guardianship ONLY,950
Colorado,2019,Conservatorship ONLY,318
Colorado,2019,Joint G/C ONLY,35
Colorado,2018,Guardianship ONLY,910
Colorado,2018,Conservatorship ONLY,243
Colorado,2018,Joint G/C ONLY,492
Colorado,2018,Guardianship ONLY,931
Colorado,2018,Conservatorship ONLY,340
Colorado,2018,Joint G/C ONLY,27
Colorado,2017,Guardianship ONLY,823
Colorado,2017,Conservatorship ONLY,213
Colorado,2017,Joint G/C ONLY,506
Colorado,2017,Guardianship ONLY,1068
Colorado,2017,Conservatorship ONLY,403
Colorado,2017,Joint G/C ONLY,42
Colorado,2016,Guardianship ONLY,838
Colorado,2016,Conservatorship ONLY,210
Colorado,2016,Joint G/C ONLY,531
Colorado,2016,Guardianship ONLY,897
Colorado,2016,Conservatorship ONLY,435
Colorado,2016,Joint G/C ONLY,39
Connecticut,2019,G+C+Joint,4700
Delaware,2020,G+C+Joint,1574
Delaware,2019,G+C+Joint,1744
Delaware,2018,G+C+Joint,2018
Delaware,2017,G+C+Joint,1917
District of Columbia,2020,G+C+Joint,361
District of Columbia,2020,G+C+Joint,34
District of Columbia,2020,Conservatorship ONLY,25
District of Columbia,2020,Conservatorship ONLY,1
District of Columbia,2019,G+C+Joint,544
District of Columbia,2019,G+C+Joint,31
District of Columbia,2019,Conservatorship ONLY,33
District of Columbia,2019,Conservatorship ONLY,0
District of Columbia,2018,G+C+Joint,527
District of Columbia,2018,G+C+Joint,44
District of Columbia,2018,Conservatorship ONLY,19
District of Columbia,2018,Conservatorship ONLY,1
Florida,2020,G+C+Joint,7876
Florida,2019,G+C+Joint,7906
Florida,2018,G+C+Joint,7317
Hawaii,2020,Guardianship ONLY,544
Hawaii,2020,Conservatorship ONLY,130
Hawaii,2020,Joint G/C ONLY,73
Hawaii,2019,Guardianship ONLY,539
Hawaii,2019,Conservatorship ONLY,156
Hawaii,2019,Joint G/C ONLY,74
Hawaii,2018,Guardianship ONLY,507
Hawaii,2018,Conservatorship ONLY,163
Hawaii,2018,Joint G/C ONLY,79
